Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Praza Irmáns García Naveira  s/n ,15300 ,Betanzos ,A Coruña ,Galicia ,881 88 14 04  881 88 14 05 ,881 88 14 08 ,mixto1.betanzos@xustiza.gal ,CORRAL MONTES  MARIA DE LAS NIEVES
Juzgado de Primera Instancia e Instrucción nº 2 ,Praza Irmáns García Naveira  s/n ,15300 ,Betanzos ,A Coruña ,Galicia ,881 88 14 13  881 88 14 14 ,881 88 14 18 ,mixto2.betanzos@xustiza.gal ,LOPEZ MOURE  CARMEN
Juzgado de Primera Instancia e Instrucción nº 3 ,Praza Irmáns García Naveira  s/n ,15300 ,Betanzos ,A Coruña ,Galicia ,881 88 14 26  881 88 14 27 ,881 88 14 29 ,mixto3.betanzos@xustiza.gal ,REY SALGUEIRO  SONIA
Juzgado de Primera Instancia e Instrucción nº 4 ,Praza Irmáns García Naveira  s/n ,15300 ,Betanzos ,A Coruña ,Galicia ,881 88 14 40  881 88 14 39 ,881 88 14 41 ,mixto4.betanzos@xustiza.gal ,MOURENZA COUTO  MARIA EMMA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Río Grande  s/n ,15100 ,Carballo ,A Coruña ,Galicia ,881 88 11 85  881 88 11 86 ,881 88 11 87 ,mixto1.carballo@xustiza.gal ,LOPEZ BARCON  ADRIANA
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Río Grande  s/n ,15100 ,Carballo ,A Coruña ,Galicia ,881 88 11 90  881 88 11 91 ,881 88 11 92 ,mixto2.carballo@xustiza.gal ,LOPEZ DOMINGUEZ  EVA
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Río Grande  s/n ,15100 ,Carballo ,A Coruña ,Galicia ,881 88 11 95  881 88 11 96 ,881 88 11 97 ,mixto3.carballo@xustiza.gal ,MOSQUERA BLANCO  AUGUSTO JAVIER
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. da Viña  s/n ,15130 ,Corcubión ,A Coruña ,Galicia ,881 88 14 45  881 88 14 47 ,881 88 14 51 ,mixto1.corcubion@xustiza.gal ,RODRIGUEZ RIVAS  FERNANDO
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. da Viña  s/n ,15130 ,Corcubión ,A Coruña ,Galicia ,881 88 14 56  881 88 14 54 ,881 88 14 58 ,mixto2.corcubion@xustiza.gal ,LOPEZ LOPEZ  RAQUEL
Tribunal Superior de Justicia Adscripción Territorial ,Praza de Galicia  s/n ,15004 ,Coruña (A) ,A Coruña ,Galicia ,981 18 20 55  981 18 20 57 ,981 18 20 54 ,reparto.tsxg@xustiza.gal ,CALLEJA CURROS  ELENA
Tribunal Superior de Justicia Presidencia ,Praza de Galicia  s/n ,15004 ,Coruña (A) ,A Coruña ,Galicia ,981 18 20 55  981 18 20 57 ,981 18 22 97 ,reparto.tsxg@xustiza.gal ,GOMEZ Y DIAZ-CASTROVERDE  JOSE MARIA
Tribunal Superior de Justicia. Sala de lo Civil y Penal ,Praza de Galicia  s/n ,15004 ,Coruña (A) ,A Coruña ,Galicia ,981 18 48 76  981 18 21 40 ,981 18 48 87 ,sala1.civilpenal.tsxg@xustiza.gal ,ALAÑON OLMEDO  FERNANDO
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo ,Praza de Galicia  s/n ,15004 ,Coruña (A) ,A Coruña ,Galicia ,981 18 57 87  981 18 57 95 ,981 18 57 86 ,sala1.contenciosoadministrativo.tsxg@xustiza.gal ,ARROJO MARTINEZ  JOSE MARIA
Tribunal Superior de Justicia. Sala de lo Social ,Praza de Galicia  s/n ,15004 ,Coruña (A) ,A Coruña ,Galicia ,981 18 49 59  981 18 48 45 ,981 18 22 11 ,sala1.social.tsxg@xustiza.gal ,CASTRO MEJUTO  LUIS FERNANDO DE
Audiencia Provincial Penal nº 1 ,C/ Cigarreras  1 ,15006 ,Coruña (A) ,A Coruña ,Galicia ,981 18 20 66  981 18 20 67 ,981 18 20 65 ,seccion1.ap.coruna@xustiza.gal ,CORTIZAS GONZALEZ-CRIADO  MARIA TERESA
Audiencia Provincial Penal nº 2 ,C/ Cigarreras  1 ,15006 ,Coruña (A) ,A Coruña ,Galicia ,981 18 20 74  981 18 20 75 ,981 18 20 73 ,seccion2.ap.coruna@xustiza.gal ,FILGUEIRA BOUZA  MIGUEL ANGEL
Audiencia Provincial Civil nº 3 ,C/ Cigarreras  1 ,15006 ,Coruña (A) ,A Coruña ,Galicia ,981 18 20 83  981 18 20 82 ,981 18 20 81 ,seccion3.ap.coruna@xustiza.gal ,FERNANDEZ-PORTO GARCIA RAFAEL JESUS
Audiencia Provincial Civil nº 4 ,C/ Cigarreras  1 ,15006 ,Coruña (A) ,A Coruña ,Galicia ,981 18 20 90  981 18 20 91 ,981 18 20 89 ,seccion4.ap.coruna@xustiza.gal ,FERNANDEZ-CID TREMOYA  EDUARDO
Audiencia Provincial Civil nº 5 ,C/ Cigarreras  1 ,15006 ,Coruña (A) ,A Coruña ,Galicia ,981 18 20 98  981 18 20 99 ,981 18 20 97 ,seccion5.ap.coruna@xustiza.gal ,CONDE NUÑEZ  MANUEL
Audiencia Provincial Presidencia ,C/ Cigarreras  1 ,15006 ,Coruña (A) ,A Coruña ,Galicia ,981 18 21 57 ,981 18 20 65 ,seccion1.ap.coruna@xustiza.gal ,PICATOSTE SUEIRAS  IGNACIO ALFREDO
Juzgado de Primera Instancia nº 1 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 55  981 18 51 56 ,981 18 52 12 ,instancia1.coruna@xustiza.gal ,GARCIA APONTE  FRANCISCO JAVIER
Juzgado de Primera Instancia nº 2 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 65  981 18 51 67 ,981 18 51 66 ,instancia2.coruna@xustiza.gal ,CAMBON RODRIGUEZ  MARIA ESTEFANIA
Juzgado de Primera Instancia nº 3 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 21 30  981 18 21 31 ,981 18 21 28 ,instancia3.coruna@xustiza.gal ,GOMA GARCIA  CARMEN AMELIA
Juzgado de Primera Instancia nº 4 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 85  981 18 51 86 ,981 18 51 87 ,instancia4.coruna@xustiza.gal ,PEREZ MERINO  LUIS
